id,animal_category,disease,sym_part,symptom,url
0,犬,毛包虫（ニキビダニ・アカラス）症 <犬>,皮膚の症状,['発疹がある' '毛が抜ける' '痒がる' '血が出ている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/889?breed=01999
1,犬,アトピー性皮膚炎 <犬>,皮膚の症状,['発疹がある' '毛が抜ける' '痒がる' '赤い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/892?breed=01999
2,犬,アトピー性皮膚炎 <犬>,耳の症状,['耳の毛が抜けている' '耳が赤い' '耳を痒がる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/892?breed=01999
3,犬,エリテマトーデス（紅斑性狼瘡） <犬>,皮膚の症状,['発疹がある' '毛が抜ける'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/952?breed=01999
4,犬,エリテマトーデス（紅斑性狼瘡） <犬>,口の症状,['口の中がただれている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/952?breed=01999
5,犬,エリテマトーデス（紅斑性狼瘡） <犬>,その他の症状,['熱っぽい' '食欲がない'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/952?breed=01999
6,犬,リンパ腫 <犬>,皮膚の症状,['発疹がある' '毛が抜ける' 'しこりがある'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/959?breed=01999
7,犬,リンパ腫 <犬>,便の異常,['下痢をしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/959?breed=01999
8,犬,リンパ腫 <犬>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/959?breed=01999
9,犬,リンパ腫 <犬>,体重の変化,['体重が減る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/959?breed=01999
10,犬,リンパ腫 <犬>,咳をする,['咳をする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/959?breed=01999
11,犬,リンパ腫 <犬>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/959?breed=01999
12,犬,肥満細胞腫 <犬>,皮膚の症状,['発疹がある' '毛が抜ける' 'しこりがある'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/960?breed=01999
13,犬,肥満細胞腫 <犬>,便の異常,['下痢をしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/960?breed=01999
14,犬,肥満細胞腫 <犬>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/960?breed=01999
15,犬,扁平上皮癌 <犬>,皮膚の症状,['発疹がある' '毛が抜ける' 'しこりがある'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/961?breed=01999
16,犬,扁平上皮癌 <犬>,口の症状,['口の中がただれている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/961?breed=01999
17,犬,扁平上皮癌 <犬>,尿の異常,['トイレの回数が多い' '尿の色がおかしい'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/961?breed=01999
